codigo,produto,consumo_2023,consumo_2024
110001,TUBO DE DESCARGA 40 X 38 MM,1.0,2.0
110007,ACABAMENTO TUBO DE LIGAÇÃO P/VASO,0.0,10.0
110009,BOLSA LIGAÇÃO SAÍDA VASO PRETA 4,0.0,2.0
110011,"MANGUEIRA P/ BEBEDOURO PEBD 6,35 X 1",1.0,1.0
120001,LUVA SOLD. SIMPLES 60 MM,11.0,13.0
120002,BUCHA SOLD. REDUÇÃO 60 X 40 MM,2.0,1.0
120003,BUCHA SOLD. REDUÇÃO 60 X 25 MM,1.0,0.0
120004,LUVA CORRER 60 MM,0.0,5.0
120005,"ADAPTADOR SOLD. 60 X 2""",18.0,12.0
120006,LUVA CORRER PVC PBA 60 MM,1.0,0.0
120009,BUCHA SOLD. REDUÇÃO 60 X 50 MM,25.0,0.0
120018,LUVA SIMPLES ESGOTO 40 MM,7.0,8.0
120019,LUVA CORRER ESGOTO 40 MM,1.0,1.0
120020,JOELHO ESGOTO 90° 40 MM,9.0,9.0
120021,JOELHO ESGOTO 45° 40 MM,7.0,6.0
120024,LUVA SOLD. 50 MM,20.0,14.0
120025,ADAPTADOR SOLD 50 X 1 1/2,8.0,7.0
120026,BUCHA SOLD.REDUÇÃO 50 X 25,25.0,6.0
120032,BUCHA SOLD. SIMPLES REDUÇÃO 50 X 40 MM,13.0,0.0
120039,LUVA SIMPLES ESGOTO 50 MM,9.0,3.0
120040,LUVA SIMPLES ESGOTO 75 MM,3.0,6.0
120042,LUVA SOLD. SIMPLES 40 MM,18.0,19.0
120043,ADAPTADOR SOLD. 40 X 1 1/2,1.0,0.0
120044,LUVA SOLD. CORRER 40 MM,4.0,1.0
120045,ADAPTADOR SOLD. 40 X 1 1/4,17.0,8.0
120047,BUCHA SOLD. REDUÇÃO 40 X 20 MM,7.0,0.0
120055,JOELHO AZUL 38 X 1 1/2,5.0,1.0
120056,LUVA SIMPLES SOLD. 32 MM,3.0,2.0
120057,ADAPTADOR SOLD. 32 X 1,0.0,4.0
120058,LUVA SOLD. CORRER 32 MM,4.0,1.0
120060,BUCHA SOLD. REDUÇÃO SIMPLES 40 X 32 MM,0.0,1.0
120064,TE SOLD. 32 X 25 MM,1.0,1.0
120070,LUVA SOLD. SIMPLES 25 MM,14.0,33.0
120071,ADAPTADOR SOLD. 25 X 3/4 MM,0.0,3.0
120072,LUVA SOLD. CORRER 25 MM,0.0,2.0
120074,BUCHA SOLD. REDUÇÃO 40 X 25 MM,2.0,4.0
120076,BUCHA SOLD. REDUÇÃO 32 X 25 MM,2.0,1.0
120077,JOELHO SOLD. 90° 25 MM,30.0,45.0
120078,JOELHO SOLD. 45° 25 MM,2.0,1.0
120079,TE SOLD. 25 MM,8.0,4.0
120083,JOELHO BUCHA LATÃO 90° 25 X 1/2 MM,2.0,1.0
120084,JOELHO BUCHA LATÃO 90° 25 X 3/4 MM,2.0,1.0
120085,TE BUCHA LATÃO 25 X 1/2 MM,6.0,5.0
120086,BUCHA REDUÇÃO BUCHA LATÃO 25 X 3/4,12.0,0.0
120087,LUVA SOLD. SIMPLES 20 MM,7.0,16.0
120091,ADAPTADOR SOLD. 20 X 1/2 MM,0.0,30.0
120094,BUCHA FERRO REDUÇÃO 1/2 X 1/4,4.0,0.0
120096,BUCHA SOLD. REDUÇÃO 25 X 20 MM,4.0,18.0
120097,JOELHO SOLD. 90° 20 MM,9.0,38.0
120098,JOELHO SOLD. 45° 20 MM,0.0,5.0
120099,TE SOLD. 20 MM,1.0,6.0
120102,JOELHO BUCHA LATÃO 90° 20 X 1/2,2.0,17.0
120111,ANEL BORRACHA 25 MM,3.0,0.0
120112,ANEL BORRACHA 38 MM,29.0,11.0
120114,LUVA SOLD. SIMPLES 75 MM,6.0,0.0
120116,UNIÃO SOLD. 75 MM,1.0,0.0
120117,TE SOLD. 75 MM,2.0,0.0
120119,BUCHA REDUÇÃO EXCÊNTRICA 100 X 75 MM,0.0,3.0
120120,BUCHA REDUÇÃO EXCÊNTRICA 100 X 50 MM,1.0,2.0
120121,BUCHA REDUÇÃO EXCÊNRICA 75 X 50 MM,2.0,0.0
120129,LUVA CORRER SOLD. PBA 75 MM,2.0,1.0
120131,ADAPTADOR SOLD. 75 X 2 1/2 MM,1.0,12.0
120138,LUVA SOLD. 85 MM,5.0,3.0
120139,UNIÃO SOLD. 85 MM,0.0,1.0
120140,JOELHO ESGOTO 90° 75 MM,13.0,0.0
120145,TE SOLD. 110 MM,5.0,3.0
120146,JOELHO SOLD. 45° 110 MM,3.0,5.0
120148,BUCHA SOLD. REDUÇÃO 110 X 85 MM,0.0,2.0
120149,BUCHA SOLD. REDUÇÃO 110 X 60 MM,1.0,6.0
120152,CAIXA SIFONADA 150X185X75 MM,3.0,2.0
120159,TUBO DE LIGAÇÃO DE AJUSTE P/ VASO SANITÁRIO,0.0,5.0
120161,PUXADOR INOX PORTA BANHEIRO,12.0,0.0
120162,RABICHO ALIMENTAÇÃO MICTÓRIO INOX,1.0,0.0
120166,BUCHA REDUÇÃO ESGOTO 50X40 MM,2.0,0.0
120169,RALO INOX 10 X 10,1.0,1.0
120173,UNIÃO SOLD. 32 MM,0.0,2.0
120176,TE SOLD. 85 MM,4.0,5.0
120177,ADAPTADOR SOLD. 85 - 3 MM,0.0,2.0
120178,BUCHA SOLD. REDUÇÃO 85 X 75 MM,4.0,3.0
120179,JOELHO SOLD. 90° 85 MM,2.0,0.0
120182,"ANEL BORRACHA 0,5 MM",2.0,1.0
120183,JOELHO SOLD. 45° 85 MM,1.0,0.0
120184,LUVA CORRER SOLD. PBA 85 MM,4.0,2.0
120198,CAP ESGOTO 40 MM,8.0,0.0
120199,CAIXA SIFONADA 100X100X50 MM,2.0,3.0
120202,TAMPA CROMADA PARA REGISTRO,1.0,0.0
120206,CAP SOLD. 32 MM,0.0,2.0
120207,CAP SOLD. 25 MM,0.0,2.0
120208,CAP SOLD. 20 MM,1.0,3.0
120212,RALO ESGOTO 100MM X 40 MM,0.0,15.0
120216,JOELHO AQ. 90° 22 MM,10.0,0.0
120217,JOELHO AQ. 45° 22 MM,5.0,0.0
120219,LUVA AQ. 22 MM,1.0,5.0
120220,CONECTOR AQ. 22MM X 1/2,2.0,2.0
120221,CAP AQ. 22 MM,7.0,0.0
120223,LUVA AQ. TRANSIÇÃO 22MM X 25MM,4.0,0.0
120224,CURVA AQ. 90° 22MM,8.0,1.0
120228,LUVA AQ. TRANS. 22MM X 3/4,2.0,0.0
120234,"NIPLE 1 1/4""",1.0,0.0
120237,CURVA SOLD. 50 MM,5.0,0.0
120247,SUPORTE PARA RALO QUADRADO 150 MM,25.0,0.0
120249,CORPO CAIXA SIFONADA 150 X 150 X 50 MM,7.0,0.0
120250,KIT COMPLETO PARA CAIXA ACLOPADA,0.0,3.0
120252,LUVA CORRER ESGOTO 75 MM,8.0,0.0
120254,JOELHO SOLD. 45° 60 MM,4.0,0.0
120255,TE SOLD. 60 MM,7.0,12.0
120256,UNIÃO SOLD. 60 MM,0.0,5.0
120257,LUVA CORRER SOLD. 50 MM,11.0,0.0
120258,BUCHA SOLD. REDUÇÃO 50 X 32 MM,0.0,1.0
120261,JOELHO ESGOTO 90° 50 MM,13.0,0.0
120263,JOELHO ESGOTO 45° 50 MM,6.0,0.0
120264,ESPUDE,16.0,8.0
120265,SIFÃO PARA CAIXA SIFONADA 75 MM,0.0,2.0
120266,JOELHO ESGOTO 45° 100 MM,1.0,3.0
120267,JOELHO ESGOTO 90° 100 MM,1.0,0.0
120268,JUNÇÃO ESGOTO PVC 100 MM,9.0,0.0
120270,LUVA ESGOTO SIMPLES 100 MM,2.0,6.0
120271,CAP ESGOTO 75 MM,5.0,2.0
120272,SUPORTE PARA RALO QUADRADO 100 MM,21.0,0.0
120275,CORPO RALO SIFONADO CÔNICO 100 X 40 MM,24.0,0.0
120277,ANEL BORRACHA ESGOTO 60 MM,1.0,1.0
120280,ANEL BORRACHA ESGOTO 85 MM,8.0,4.0
120282,ANEL BORRACHA ESGOTO 75 MM,20.0,12.0
120283,ANEL BORRACHA ESGOTO DN 65 DE 75 MM,4.0,2.0
120286,BUCHA AQ. 42MM X 35MM,4.0,0.0
120288,"PROLONGADOR COBRE 1/2""",5.0,14.0
120289,TE ESGOTO 100 MM,1.0,1.0
120290,SUPORTE PARA RALO REDONDO 100 MM,24.0,0.0
120299,SIFÃO UNIVERSAL EXTENSÍVEL,4.0,10.0
120300,ANEL DE VEDAÇÃO PARA VASO SANITÁRIO,20.0,15.0
120301,"LIG. P/ DUCHA HIGIÊNICA 1,20 M",11.0,12.0
